일시,평균기온,최저기온,최고기온,일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),최소 상대습도(%),평균 상대습도(%),평균 현지기압(hPa),평균 해면기압(hPa),합계 일조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),평균 지면온도,1일전 모기 개체수,2일전 모기 개체수,3일전 모기 개체수,모기 개체수
2015-04-09,9.6,3.8,16.3,0,5.6,2.3,27,43,1014.2,1024.7,10.8,18.2,2.8,11.8,90,146,199,172
2015-04-10,11.6,4.6,19.2,0,6.2,2.8,19,40.5,1012.3,1022.7,11.6,20.67,0.1,13.3,172,90,146,249
2015-04-11,13.5,6.7,20.7,0,5.7,2.5,17,39.3,1014.7,1025,11.6,19.87,0.4,15,249,172,90,410
2015-04-12,14.9,9.1,20.4,0,6.8,2.9,17,30.6,1013.9,1024.1,3.8,12.6,7.9,13.6,410,249,172,459
2015-04-13,12,7.4,17.6,6.5,8.7,5.9,32,53.9,1007.8,1018.1,5.6,14.89,9,14.7,459,410,249,468
2015-04-14,6.9,5.8,8,10.5,4.8,2.7,83,89.9,998.5,1008.9,0,5.33,10,9.8,468,459,410,132
2015-04-15,11.1,5.6,17,1,5.7,2.9,45,72,998.1,1008.4,8.5,16.51,4.4,13.6,132,468,459,31
2015-04-16,9.9,6.9,14.8,7,8.3,3.6,55,69.5,997.9,1008.2,1.1,3.64,4.6,8.7,31,132,468,573
2015-04-17,10.5,4.8,16.1,0,8.7,3.7,21,45.4,1006.2,1016.5,12.1,22.45,0.3,12.6,573,31,132,83
2015-04-18,15.2,5.2,23.7,0,4.2,1.9,11,31.9,1005,1015.2,9.8,19.74,5,15.7,83,573,31,416
2015-04-19,14.5,11.2,17.3,12,6.3,3.7,24,74.8,997,1007.1,0,5.15,9.9,15.1,416,83,573,982
2015-04-20,12.2,10.3,16.8,5.5,5.7,3.2,46,75.3,997.5,1007.7,3.2,8.68,6,14.3,982,416,83,282
2015-04-21,14,7.7,20.9,0,6,2.9,14,46,1005.2,1015.4,12.5,22.93,1.8,15.8,282,982,416,408
2015-04-22,14.2,9.3,20.7,0,6.4,3,25,47,1008,1018.2,11.2,19.32,2.8,15,408,282,982,933
2015-04-23,14.5,8,20.1,0,7,3.5,16,41.1,1010.3,1020.6,10.8,21.03,3.5,15.7,933,408,282,656
2015-04-24,15.7,10.4,22.8,0,6.8,3.2,15,38.3,1009.2,1019.4,12.2,22.53,0.9,18.5,656,933,408,764
2015-04-25,15.9,9.2,23,0,6.2,2.7,13,31.3,1009.6,1019.8,12.6,22.89,0,19,764,656,933,757
2015-04-26,17.3,9.9,24.4,0,6.8,3.3,17,37.6,1008.2,1018.4,11.7,20.92,0,19.7,757,764,656,862
2015-04-27,18.5,12.7,24.9,0,6.8,2.8,19,39.3,1006.1,1016.2,12.3,22.03,1,21.6,862,757,764,"1,033"
2015-05-03,18.3,17.1,19.6,3.5,4.2,2.1,82,90.4,997.2,1007.2,0.3,5.26,8.9,19.7,2729,2783,1532,"2,998"
2015-05-04,16.1,12.5,20.1,0,7.9,4.2,13,45.9,998.9,1008.9,12.4,24.18,1.6,21.2,2998,2729,2783,"3,392"
2015-05-05,14.2,8.3,19.9,0,6.4,3.4,16,37.9,1001.3,1011.5,12.9,25.05,0.1,20.6,3392,2998,2729,"3,137"
2015-05-06,15.4,9.8,22,0,5.2,2.4,16,36.3,1001.6,1011.7,6.6,16.16,6.8,18.5,3137,3392,2998,"2,849"
2015-05-07,16.5,10.6,24,0,8,2.6,15,35.6,1002.3,1012.3,9.2,18.9,6,22.4,2849,3137,3392,"2,819"
2015-05-08,16.7,11.7,22.7,0,5.7,2.5,43,64.3,1002.8,1012.9,3.9,14.53,8.6,21.8,2819,2849,3137,"2,926"
2015-05-15,19.1,16.3,23.7,0,4.6,2.7,46,71,998.7,1008.6,3.6,10.61,6.3,19.8,5430,2323,1713,"8,425"
